_ - DATA,_ - id,URL,_ - creationDate,_ - modificationDate,_ - type,_ - name,_ - leadImg,_ - title,_ - _ownSite,_ - text,_ - conditionDestroyed,_ - conditionTranslocated,_ - conditionDamaged,_ - conditionMissing,_ - conditionPaintedOver,_ - verbaleDating,_ - positionCeiling,_ - positionWall,_ - positionOnEquipment,_ - orientationEast,_ - orientationWest,_ - orientationNorth,_ - orientationSouth,_ - orientationCenter,_ - gender,_ - gnd,_ - locationLng,_ - locationLat,_ - addressState,_ - addressLocality,_ - addressCountry,_ - addressZip,_ - shortText,_ - addressStreet,_ - bildindex,_ - width,_ - length,_ - tempBibliography,_ - roomNumber,_ - signature,_ - height,_ - diameter,_ - images - images,_ - iconography - iconography,_ - productionMethods - productionMethods,_ - functions - functions,_ - productionMaterials - productionMaterials,_ - alternativeNames - alternativeNames,_ - tempImageLicense - license,_ - tempImageLicense - additionalLicenseHolderInfo,_ - conditionDestroyed - conditionDestroyed
c1194631-2f6f-4130-a54f-a1c1a0fed4a0,c1194631-2f6f-4130-a54f-a1c1a0fed4a0,https://www.deckenmalerei.eu/c1194631-2f6f-4130-a54f-a1c1a0fed4a0,1645776973757,1645776973757,OBJ#PERSON,Otto van Veen,,,,,,,,,,,,,,,,,,,male,118767461,,,,,,,,,,,,,,,,,,,,,,,,,
0d20ddb7-4dfe-4e5b-8d1b-46486316e860,0d20ddb7-4dfe-4e5b-8d1b-46486316e860,https://www.deckenmalerei.eu/0d20ddb7-4dfe-4e5b-8d1b-46486316e860,1642166210141,1642166210141,OBJ#PERSON,Otto van Veen,,,,,,,,,,,,,,,,,,,male,118767461,,,,,,,,,,,,,,,,,,,,,,,,,
4c8ffca0-274e-442c-9a85-83125ff7766b,4c8ffca0-274e-442c-9a85-83125ff7766b,https://www.deckenmalerei.eu/4c8ffca0-274e-442c-9a85-83125ff7766b,1647446450099,1647446450099,OBJ#PERSON,Charles Le Brun,,,,,,,,,,,,,,,,,,,male,118779141,,,,,,,,,,,,,,,,,,,,,,,,,
46ebc353-98b1-4b13-b55e-00e599fe2d51,46ebc353-98b1-4b13-b55e-00e599fe2d51,https://www.deckenmalerei.eu/46ebc353-98b1-4b13-b55e-00e599fe2d51,1646925686932,1646925686932,OBJ#PERSON,Charles Le Brun,,,,,,,,,,,,,,,,,,,male,118779141,,,,,,,,,,,,,,,,,,,,,,,,,
96e6be6e-9b04-4098-b017-1c272dfc717e,96e6be6e-9b04-4098-b017-1c272dfc717e,https://www.deckenmalerei.eu/96e6be6e-9b04-4098-b017-1c272dfc717e,1614964723830,1614964723830,OBJ#PERSON,Ernst Wullekopf,,,,,,,,,,,,,,,,,,,male,119381745,,,,,,,,,,,,,,,,,,,,,,,,,
6c2de657-92c0-4ae7-89bf-d672cc1e7a2f,6c2de657-92c0-4ae7-89bf-d672cc1e7a2f,https://www.deckenmalerei.eu/6c2de657-92c0-4ae7-89bf-d672cc1e7a2f,1614449022039,1614449022039,OBJ#PERSON,Ernst Wullekopf,,,,,,,,,,,,,,,,,,,male,119381745,,,,,,,,,,,,,,,,,,,,,,,,,
a8028e40-8fbd-4c7e-a867-adb944a27d26,a8028e40-8fbd-4c7e-a867-adb944a27d26,https://www.deckenmalerei.eu/a8028e40-8fbd-4c7e-a867-adb944a27d26,1605620749864,1605620749864,OBJ#PERSON,"Dorothea of Denmark, Duchess of Brunswick-Lüneburg",,,,,,,,,,,,,,,,,,,female,119452952,,,,,,,,,,,,,,,,,,,,,,,,,
2a0b4800-c4c3-11e9-8385-59bf93401dce,2a0b4800-c4c3-11e9-8385-59bf93401dce,https://www.deckenmalerei.eu/2a0b4800-c4c3-11e9-8385-59bf93401dce,1566467811456,1601629679993,OBJ#PERSON,"Dorothea of Denmark, Duchess of Brunswick-Lüneburg",,,,,,,,,,,,,,,,,,,female,119452952,,,,,,,,,,,,,,,,,,,,,,"Dorothea, Dänemark, Prinzessin",,,
aac2d980-c96f-11e9-b5ad-295696610c6d,aac2d980-c96f-11e9-b5ad-295696610c6d,https://www.deckenmalerei.eu/aac2d980-c96f-11e9-b5ad-295696610c6d,1566981705497,1566981705497,OBJ#PERSON,Rutger van Langevelt,,,,,,,,,,,,,,,,,,,male,119515776,,,,,,,,,,,,,,,,,,,,,,"Langerfeld, Rutger van",,,
d91d1615-25b6-45a6-99da-5d39d5c937c5,d91d1615-25b6-45a6-99da-5d39d5c937c5,https://www.deckenmalerei.eu/d91d1615-25b6-45a6-99da-5d39d5c937c5,1590071039359,1601633142038,OBJ#PERSON,Rutger van Langevelt,,,,,,,,,,,,,,,,,,,male,119515776,,,,,,,,,,,,,,,,,,,,,,"Langervelt, Rutger van",,,
